self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
68	True	False	-0.6886135339736938	0.3404778126216712	10	0	34	34	6.0640318393707275	-5.9133970737457275	26.752816828403013	29.263484081061904	0	0.05643235383609771	0.17835387762855082	-0.17392344334546259	0.15126110759227898	0.15863445154126996
69	False	True	0.23976600170135498	0.9582521497459453	10	0	35	34	6.3037978410720825	-5.9133970737457275	26.810304563974867	29.263484081061904	None	None	None	None	None	None
70	True	False	-1.1438285112380981	0.9986910182162916	10	0	35	35	6.3037978410720825	-7.057225584983826	26.810304563974867	30.571827744183068	-1	0.039926953260397	0.18010850974491666	-0.20163501671382358	0.14688627318892974	0.15650823251469975
71	False	True	0.654531717300415	0.891209261945562	10	72	1	0	0.654531717300415	0	0.42841176895223043	0	None	None	None	None	None	None
72	True	False	0.34536051750183105	0.6796212321864346	10	72	0	1	0	0.34536051750183105	0	0.11927388704913255	None	None	None	None	None	None
73	False	True	-0.3250875473022461	0.1540990715038788	10	72	1	0	-0.3250875473022461	0	0.10568191341099009	0	None	None	None	None	None	None
74	True	False	-0.38656163215637207	0.3089103623258893	10	72	1	1	-0.3250875473022461	-0.38656163215637207	0.10568191341099009	0.1494298954553983	None	None	None	None	None	None
75	False	True	0.8288763761520386	0.6821732916503294	10	72	2	1	0.5037888288497925	-0.38656163215637207	0.7927179603539258	0.1494298954553983	None	None	None	None	None	None
76	True	False	-0.2590041160583496	0.3754714643067416	10	72	2	2	0.5037888288497925	-0.6455657482147217	0.7927179603539258	0.21651302759056534	0	0.2516034146471197	0.25189441442489624	-0.32278287410736084	0.5769819617271423	0.06377875804901123
77	False	True	1.008467197418213	1.0037818076276324	10	72	3	2	1.5122560262680054	-0.6455657482147217	1.8097240486224706	0.21651302759056534	None	None	None	None	None	None
78	True	False	-0.41542041301727295	1.7088642133039258	10	72	3	3	1.5122560262680054	-1.0609861612319946	1.8097240486224706	0.389087147142007	0	0.08911713386797086	0.5040853420893351	-0.35366205374399823	0.41781534045048024	0.048056567998451864
79	True	True	-0.4425389766693115	0.7302628163107272	10	72	3	4	1.5122560262680054	-1.5035251379013062	1.8097240486224706	0.5849278930135284	None	None	None	None	None	None
80	False	False	-0.3857913017272949	0.6000941205021775	10	72	4	4	1.1264647245407104	-1.5035251379013062	1.9585589771109113	0.5849278930135284	0	0.0876799587290443	0.2816161811351776	-0.37588128447532654	0.36983422899120927	0.04060062903683781
81	False	True	-0.011162281036376953	0.1621592156935776	10	72	5	4	1.1153024435043335	-1.5035251379013062	1.9586835736288464	0.5849278930135284	None	None	None	None	None	None
82	True	False	0.35774433612823486	0.7885772693521886	10	72	5	5	1.1153024435043335	-1.1457808017730713	1.9586835736288464	0.7129089030453599	0	0.11363303326862496	0.2230604887008667	-0.22915616035461425	0.2923955938049938	0.1500576845588075
83	True	True	-0.8494919538497925	0.4071345137908935	10	72	5	6	1.1153024435043335	-1.9952727556228638	1.9586835736288464	1.4345454827008979	None	None	None	None	None	None
84	False	False	1.0305474996566772	0.6060815320468151	10	72	6	6	2.1458499431610107	-1.9952727556228638	3.0207117226774756	1.4345454827008979	-1	0.030727711345322987	0.35764165719350177	-0.3325454592704773	0.2740599930013372	0.1603149595652697
85	True	True	-0.821426510810852	0.551005546089371	10	86	0	1	0	-0.821426510810852	0	0.6747415126628908	None	None	None	None	None	None
86	False	False	1.4664943218231201	0.677824056384253	10	86	1	0	1.4664943218231201	0	2.150605595939453	0	None	None	None	None	None	None
87	False	True	-0.755840539932251	0.6723513728318835	10	86	1	0	-0.755840539932251	0	0.5712949218050767	0	None	None	None	None	None	None
88	True	False	-0.7712984085083008	1.2030611103371314	10	86	1	1	-0.755840539932251	-0.7712984085083008	0.5712949218050767	0.5949012349674376	None	None	None	None	None	None
89	True	True	0.6572463512420654	0.2495192779912827	10	86	1	2	-0.755840539932251	-0.11405205726623535	0.5712949218050767	1.026874001188446	None	None	None	None	None	None
90	False	False	0.07712876796722412	0.32298014736865355	10	86	2	2	-0.6787117719650269	-0.11405205726623535	0.5772437686532186	1.026874001188446	0	0.3952607966528475	-0.3393558859825134	-0.057026028633117676	0.41648465394973755	0.7142723798751831
91	True	True	0.23455119132995605	0.27478912710643044	10	86	2	3	-0.6787117719650269	0.1204991340637207	0.5772437686532186	1.0818882625427477	None	None	None	None	None	None
92	False	False	-0.7641998529434204	0.7539780704044148	10	86	3	3	-1.4429116249084473	0.1204991340637207	1.161245183891964	1.0818882625427477	0	0.18995022690457553	-0.4809705416361491	0.040166378021240234	0.27906008854923825	0.4236838933239246
93	True	True	0.256777286529541	0.5215962415956028	10	86	3	4	-1.4429116249084473	0.3772764205932617	1.161245183891964	1.1478228374202217	None	None	None	None	None	None
94	False	False	0.9674904346466064	0.870135966778065	10	86	4	4	-0.4754211902618408	0.3772764205932617	2.0972829250246434	1.1478228374202217	0	0.3473741741381294	-0.1188552975654602	0.09431910514831543	0.4123890353767046	0.3044446396085154
95	True	True	-0.6917480230331421	0.9414131415942819	10	86	4	5	-0.4754211902618408	-0.31447160243988037	2.0972829250246434	1.6263381647904822	None	None	None	None	None	None
96	False	False	-1.1020017862319946	0.8260481883315975	10	86	5	5	-1.5774229764938354	-0.31447160243988037	3.31169086188315	1.6263381647904822	0	0.3038648581209613	-0.3154845952987671	-0.06289432048797608	0.37510253348444716	0.2834219193219061
97	True	True	0.3806641101837158	0.2047978903157741	10	86	5	6	-1.5774229764938354	0.06619250774383545	3.31169086188315	1.7712433295724423	None	None	None	None	None	None
98	False	False	0.47850561141967773	0.6081105729656429	10	86	6	6	-1.0989173650741577	0.06619250774383545	3.54065848204327	1.7712433295724423	0	0.32459181870910236	-0.18315289417902628	0.011032084623972574	0.3336359586019043	0.24293435932541801
99	False	True	-0.22609329223632812	0.5441258255855246	10	86	7	6	-1.3250106573104858	0.06619250774383545	3.5917766588375315	1.7712433295724423	None	None	None	None	None	None
100	True	False	-0.09238314628601074	0.27332333605710346	10	86	7	7	-1.3250106573104858	-0.026190638542175293	3.5917766588375315	1.7797779752901448	0	0.3033749561638482	-0.18928723675864084	-0.0037415197917393278	0.2820405683770755	0.20584783923231123
101	False	True	-0.3744239807128906	0.369598432335124	10	86	8	7	-1.6994346380233765	-0.026190638542175293	3.7319699761704186	1.7797779752901448	None	None	None	None	None	None
102	True	False	0.14496111869812012	0.1649811868981601	10	86	8	8	-1.6994346380233765	0.11877048015594482	3.7319699761704186	1.8007917012243553	0	0.23443296290567361	-0.21242932975292206	0.014846310019493103	0.24534815696475856	0.17923589792379743
103	False	True	0.5187989473342896	0.5632462288940729	10	86	9	8	-1.180635690689087	0.11877048015594482	4.0011223239255855	1.8007917012243553	None	None	None	None	None	None
104	True	False	-0.7469340562820435	0.570052262914615	10	86	9	9	-1.180635690689087	-0.6281635761260986	4.0011223239255855	2.358702185658302	0	0.41830496495931113	-0.13118174340989855	-0.06979595290289985	0.23112780482310605	0.1793064923486725
105	False	True	0.690361738204956	0.23302948826864167	10	86	10	9	-0.49027395248413086	-0.6281635761260986	4.477721653502954	2.358702185658302	None	None	None	None	None	None
106	True	False	-0.06577134132385254	0.8503130646051318	10	86	10	10	-0.49027395248413086	-0.6939349174499512	4.477721653502954	2.363028054997841	0	0.470860262688507	-0.04902739524841308	-0.06939349174499512	0.2224531111306758	0.16037710726188842
107	False	True	-0.14883792400360107	1.0772132447428504	10	86	11	10	-0.6391118764877319	-0.6939349174499512	4.4998743811246555	2.363028054997841	None	None	None	None	None	None
108	True	False	0.8906737565994263	0.8330066178238695	10	86	11	11	-0.6391118764877319	0.1967388391494751	4.4998743811246555	3.156327795692775	0	0.38793475507986225	-0.058101079680702904	0.017885349013588646	0.20142089110444505	0.16929825894207745
109	True	True	0.19964861869812012	1.1785741823618707	10	86	11	12	-0.6391118764877319	0.3963874578475952	4.4998743811246555	3.1961873666408422	None	None	None	None	None	None
110	False	False	-1.4340624809265137	0.923728911716438	10	86	12	12	-2.0731743574142456	0.3963874578475952	6.556409580325763	3.1961873666408422	0	0.2248176908798744	-0.17276452978452048	0.03303228815396627	0.21669414605414375	0.15528794812435132
111	True	True	0.7847069501876831	0.7318548211652143	10	86	12	13	-2.0731743574142456	1.1810944080352783	6.556409580325763	3.811952364313697	None	None	None	None	None	None
112	False	False	-0.18176782131195068	0.18150756454402028	10	86	13	13	-2.2549421787261963	1.1810944080352783	6.589449121190256	3.811952364313697	0	0.15277280393426979	-0.17345709067124587	0.09085341600271371	0.19933082620898665	0.1541029855183013
113	True	True	-0.10855436325073242	0.22948096792970318	10	86	13	14	-2.2549421787261963	1.072540044784546	6.589449121190256	3.823736414094469	None	None	None	None	None	None
114	False	False	-0.16379857063293457	0.34173587028686825	10	86	14	14	-2.418740749359131	1.072540044784546	6.616279092931649	3.823736414094469	0	0.1482747120427222	-0.17276719638279506	0.07661000319889613	0.18454577494170774	0.14338086370225
115	False	True	0.67235267162323	0.645612950729813	10	86	15	14	-1.7463880777359009	1.072540044784546	7.0683372079705435	3.823736414094469	None	None	None	None	None	None
116	True	False	-0.3730267286300659	1.0253529182812855	10	86	15	15	-1.7463880777359009	0.69951331615448	7.0683372079705435	3.962885354366918	0	0.23922093544078776	-0.11642587184906006	0.04663422107696533	0.18080524188346891	0.13680476348806073
117	False	True	2.174618721008301	0.941856707589892	10	86	16	15	0.4282306432723999	0.69951331615448	11.797303789730321	3.962885354366918	None	None	None	None	None	None
118	True	False	-2.0120503902435303	1.4581419656642822	10	86	16	16	0.4282306432723999	-1.3125370740890503	11.797303789730321	8.01123212724606	0	0.35346200491770896	0.026764415204524994	-0.08203356713056564	0.22160251998219768	0.1814703835922387
119	True	True	-0.22993206977844238	0.3496589576729434	10	86	16	17	0.4282306432723999	-1.5424691438674927	11.797303789730321	8.064100883958659	None	None	None	None	None	None
120	False	False	0.7567481994628906	0.8212784551914467	10	86	17	17	1.1849788427352905	-1.5424691438674927	12.369971627120648	8.064100883958659	0	0.28028022410742875	0.06970463780795827	-0.09073347905102898	0.2125421507164355	0.1706836092208103
121	True	True	-0.4103807210922241	0.6102019369337057	10	86	17	18	1.1849788427352905	-1.9528498649597168	12.369971627120648	8.232513220202833	None	None	None	None	None	None
122	False	False	0.6199318170547485	0.8659751477218691	10	86	18	18	1.804910659790039	-1.9528498649597168	12.75428708491745	8.232513220202833	0	0.2134585523497866	0.10027281443277995	-0.10849165916442871	0.20270477916002774	0.16189891644054313
123	True	True	-1.1969146728515625	1.1389801487474926	10	86	18	19	1.804910659790039	-3.1497645378112793	12.75428708491745	9.665117954290196	None	None	None	None	None	None
124	False	False	-0.22842693328857422	0.3154623793623159	10	86	19	19	1.5764837265014648	-3.1497645378112793	12.806465948769073	9.665117954290196	0	0.16573291261014134	0.08297282771060341	-0.16577708093743576	0.19251840222014152	0.1635047362689322
125	True	True	0.8981634378433228	0.86915807956224	10	86	19	20	1.5764837265014648	-2.2516010999679565	12.806465948769073	10.471815515368732	None	None	None	None	None	None
126	False	False	0.30501043796539307	1.3045449240963904	10	86	20	20	1.881494164466858	-2.2516010999679565	12.899497316036914	10.471815515368732	0	0.20285556085845757	0.09407470822334289	-0.11258005499839782	0.1829761006934395	0.16398275053460482
127	True	True	-0.9713385105133057	0.761948876171175	10	86	20	21	1.881494164466858	-3.222939610481262	12.899497316036914	11.41531401737494	None	None	None	None	None	None
128	False	False	-0.21060514450073242	0.15883046035969528	10	86	21	21	1.6708890199661255	-3.222939610481262	12.943851842927089	11.41531401737494	0	0.16647274852269794	0.07956614380791074	-0.153473314784822	0.17464866533154227	0.16125016642297116
129	False	True	0.18621087074279785	0.20319138105986667	10	86	22	21	1.8570998907089233	-3.222939610481262	12.97852633130988	11.41531401737494	None	None	None	None	None	None
130	True	False	-0.12919902801513672	0.4699681204491526	10	86	22	22	1.8570998907089233	-3.352138638496399	12.97852633130988	11.432006406214995	0	0.15118882902305514	0.08441363139586015	-0.15236993811347269	0.16659150980111342	0.15374996040065317
131	True	True	0.28537023067474365	0.6172029364604015	10	86	22	23	1.8570998907089233	-3.0667684078216553	12.97852633130988	11.513442574770352	None	None	None	None	None	None
132	False	False	-0.15003836154937744	0.4406587296794129	10	86	23	23	1.707061529159546	-3.0667684078216553	13.001037841246301	11.513442574770352	0	0.172844536931968	0.07422006648519765	-0.1333377568618111	0.15950974557968786	0.14814082709731496
133	True	True	0.4376363754272461	0.5556442502523851	10	86	23	24	1.707061529159546	-2.629132032394409	13.001037841246301	11.70496817186745	None	None	None	None	None	None
134	False	False	-0.4106440544128418	0.3653267699588696	10	86	24	24	1.296417474746704	-2.629132032394409	13.169666380670918	11.70496817186745	0	0.220869274034318	0.05401739478111267	-0.10954716801643372	0.15404943027365728	0.14381546526572395
135	False	True	0.16429638862609863	0.1573783475959658	10	86	25	24	1.4607138633728027	-2.629132032394409	13.196659683986496	11.70496817186745	None	None	None	None	None	None
136	True	False	-0.023740291595458984	0.678978427475954	10	86	25	25	1.4607138633728027	-2.652872323989868	13.196659683986496	11.705531773312487	0	0.20996227566878578	0.05842855453491211	-0.10611489295959473	0.14782485291926004	0.13798564243317027
137	True	True	0.5330864191055298	0.5688817914202247	10	86	25	26	1.4607138633728027	-2.1197859048843384	13.196659683986496	11.989712903547243	None	None	None	None	None	None
138	False	False	-1.057519793510437	0.6499028179812427	10	86	26	26	0.4031940698623657	-2.1197859048843384	14.315007797652854	11.989712903547243	0	0.315263855285251	0.015507464225475606	-0.08153022711093609	0.1483693690139503	0.1348325815298106
139	False	True	0.6377732753753662	0.40902240784879496	10	86	27	26	1.040967345237732	-2.1197859048843384	14.721762548435876	11.989712903547243	None	None	None	None	None	None
140	True	False	0.2566016912460327	0.9452652932777283	10	86	27	27	1.040967345237732	-1.8631842136383057	14.721762548435876	12.055557331497567	0	0.2915180251157935	0.038554346119916	-0.06900682272734465	0.14461673846520487	0.130345721036533
141	True	True	0.5673341751098633	1.3502136495132788	10	86	27	28	1.040967345237732	-1.2958500385284424	14.721762548435876	12.377425397745156	None	None	None	None	None	None
142	False	False	-0.7282422780990601	0.9294992045174837	10	86	28	28	0.3127250671386719	-1.2958500385284424	15.252099364046785	12.377425397745156	0	0.382351183363405	0.01116875239780971	-0.046280358518872945	0.14202152854541022	0.1276437512764119
