self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
38	True	False	0.12057602405548096	1.1441686900540873	10	24	7	7	3.378886342048645	-4.368622422218323	8.778271693501054	20.027163339052905	0	0.08875345737764197	0.4826980488640921	-0.6240889174597604	0.41252099077503357	0.6418120645555467
39	False	True	0.4555758237838745	1.932486942210474	10	24	8	7	3.8344621658325195	-4.368622422218323	8.98582102471741	20.027163339052905	None	None	None	None	None	None
40	True	False	-1.6836812496185303	1.3217316982004945	10	24	8	8	3.8344621658325195	-6.052303671836853	8.98582102471741	22.86194588936992	-1	0.046920129920577966	0.47930777072906494	-0.7565379589796066	0.3572697438327857	0.5713884784070431
41	False	True	1.5427830219268799	1.7097901855219675	10	42	1	0	1.5427830219268799	0	2.3801794527458355	0	None	None	None	None	None	None
42	True	False	-0.6980955600738525	0.7283240171973944	10	42	0	1	0	-0.6980955600738525	0	0.48733741099482586	None	None	None	None	None	None
43	True	True	1.3147555589675903	1.2311064712048534	10	42	0	1	0	1.3147555589675903	0	1.728582179836181	None	None	None	None	None	None
44	False	False	-0.48136675357818604	1.6433716910567142	10	42	1	1	-0.48136675357818604	1.3147555589675903	0.23171395145040208	1.728582179836181	None	None	None	None	None	None
45	True	True	-0.1700291633605957	0.5622239471450712	10	42	1	2	-0.48136675357818604	1.1447263956069946	0.23171395145040208	1.757492096229285	None	None	None	None	None	None
46	False	False	-2.6334571838378906	1.8871672031666549	10	42	2	2	-3.1148239374160767	1.1447263956069946	7.166810690557796	1.757492096229285	0	0.17523533797495458	-1.5574119687080383	0.5723631978034973	1.0760452151298523	0.742392361164093
47	True	True	3.583183169364929	2.0718558575987487	10	42	2	3	-3.1148239374160767	4.727909564971924	7.166810690557796	14.596693721449384	None	None	None	None	None	None
48	False	False	-1.0760445594787598	1.3907359628310871	10	42	3	3	-4.190868496894836	4.727909564971924	8.324682584541634	14.596693721449384	0	0.0502274917741702	-1.396956165631612	1.5759698549906414	0.6416415144576585	1.0913027971138987
49	True	True	-0.3194237947463989	1.6073739834387908	10	42	3	4	-4.190868496894836	4.408485770225525	8.324682584541634	14.698725282099574	None	None	None	None	None	None
50	False	False	1.182314395904541	1.9593528894956478	10	42	4	4	-3.0085541009902954	4.408485770225525	9.722549915304754	14.698725282099574	0	0.09158108077735572	-0.7521385252475739	1.1021214425563812	0.7884425824929788	0.9055402892532051
51	False	True	-1.0460741519927979	2.5673699603589455	10	42	5	4	-4.054628252983093	4.408485770225525	10.816821046772205	14.698725282099574	None	None	None	None	None	None
52	True	False	-0.4385836124420166	1.9332891726307366	10	42	5	5	-4.054628252983093	3.9699021577835083	10.816821046772205	14.891080867202263	0	0.07302030955920852	-0.8109256505966187	0.7939804315567016	0.6135478381020691	0.7661284565504479
53	True	True	0.31450188159942627	1.511875402202591	10	42	5	6	-4.054628252983093	4.284404039382935	10.816821046772205	14.989992300731842	None	None	None	None	None	None
54	False	False	0.18768537044525146	1.7747673245111883	10	42	6	6	-3.866942882537842	4.284404039382935	10.852046845051376	14.989992300731842	0	0.06647060161847586	-0.6444904804229736	0.7140673398971558	0.5278837930490752	0.6306250683590328
55	True	True	0.5494723320007324	1.1361596409578851	10	42	6	7	-3.866942882537842	4.833876371383667	10.852046845051376	15.291912144366165	None	None	None	None	None	None
56	False	False	-1.0524019002914429	1.2778242248944736	10	42	7	7	-4.919344782829285	4.833876371383667	11.959596604788416	15.291912144366165	1	0.035617219266257626	-0.7027635404041835	0.6905537673405239	0.44993281108824773	0.533493888152808
57	True	True	0.12068343162536621	1.6241366658093455	10	58	0	1	0	0.12068343162536621	0	0.014564490668874441	None	None	None	None	None	None
58	False	False	-0.4118458032608032	2.6260736934078324	10	58	1	0	-0.4118458032608032	0	0.16961696566353623	0	None	None	None	None	None	None
59	False	True	0.6360249519348145	1.2844747225709625	10	58	1	0	0.6360249519348145	0	0.40452773948368304	0	None	None	None	None	None	None
