self.step_no	last_rec.d_sum_lo	last_rec.d_sqr_sum_lo	last_rec.d_sum_hi	last_rec.d_sqr_sum_hi	last_rec.n	self.evaluation_start_index	n	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
37	0.15252900123596191	0.04289849821321923	0.15253901481628418	0.04290032366878904	10	0	38	16.834413409233093	16.855820298194885	15.786826384896912	15.790096202347044	0	0.49788778017167556	0.42563292464694463	0.4262114892134795	0.07703395917739178	0.0769609997997045
38	0.10024452209472656	0.053175996493905586	0.1019434928894043	0.05316129444497619	10	0	39	16.93465793132782	16.95776379108429	15.796875349106912	15.800488678089536	0	0.49773378488910597	0.41707007194820206	0.4176781208891618	0.07546671698530422	0.07539281968717439
39	-0.0417475700378418	0.02547336004954559	-0.03818321228027344	0.02604000480994273	10	0	40	16.892910361289978	16.919580578804016	15.798618208710977	15.801946635789577	0	0.49741576385823716	0.40530551702548295	0.4059893687566121	0.07444170393974228	0.07435867834517287
40	0.32637691497802734	0.02308467818340887	0.3317091464996338	0.02335910670950625	10	0	41	17.219287276268005	17.25128972530365	15.905140099341551	15.911977593661092	0	0.49689889575021406	0.4033323019742966	0.4041323632001877	0.07258362417803245	0.07249966112069371
41	0.059960365295410156	0.012739549585262466	0.06708955764770508	0.012824904289232109	10	0	42	17.279247641563416	17.318379282951355	15.90873534474791	15.916478602406457	0	0.4962324088537169	0.3949573766894457	0.3959118069672003	0.0712848343205599	0.07118552075609431
42	0.5533099174499512	0.05762731323704884	0.5568451881408691	0.05804470974851483	10	0	43	17.832557559013367	17.875224471092224	16.214887209496382	16.226555165962097	0	0.49589663071931334	0.3987276752789815	0.39974355413800194	0.06966896906518948	0.0695755482911601
43	0.36867189407348633	0.0358755576544354	0.37126946449279785	0.03602216058919794	10	0	44	18.201229453086853	18.246493935585022	16.350806174976114	16.364396181226866	0	0.49564548668003083	0.39802870362303977	0.3990813660067181	0.06803306026262616	0.0679414742884262
44	0.14959931373596191	0.022552847969393497	0.1513962745666504	0.022622239697739133	10	0	45	18.350828766822815	18.397890210151672	16.373186129646385	16.387317013179526	0	0.49548730187261697	0.3923825811256062	0.3934521593830802	0.06670824347529156	0.06661765319439729
45	-0.2489457130432129	0.021533716000703862	-0.24714875221252441	0.02135849262043621	10	0	46	18.101883053779602	18.150741457939148	16.43516009768898	16.448399518899734	0	0.49542156357479084	0.378130841255188	0.37921658356984456	0.06674821731536448	0.06665825391579112
46	0.007294654846191406	0.033622311024146256	0.010810136795043945	0.033303716879743206	10	0	47	18.109177708625793	18.161551594734192	16.435213309678304	16.44851637795726	0	0.49512744075194287	0.37006918502890546	0.3712077477703924	0.06577693406033568	0.06568315094057206
